Timestamp,ParticipantID,Condition,Handedness,TrialID,TargetGesture,TargetID,ReactionTime
2026-01-13T16:14:56.651378,debug-p01,Proposed,R,35,Fist,1,1598.3829498291016
2026-01-13T16:15:02.684358,debug-p01,Proposed,R,37,HandOpen,2,1353.652000427246
2026-01-13T16:15:10.599797,debug-p01,Proposed,R,38,FingerPoint,3,1424.2112636566162
2026-01-13T16:15:16.006431,debug-p01,Proposed,R,39,RockNRoll,5,1043.428897857666
2026-01-13T16:15:21.682223,debug-p01,Proposed,R,40,RockNRoll,5,1033.9627265930176
2026-01-13T16:15:27.595412,debug-p01,Proposed,R,41,Victory,4,1427.1514415740967
2026-01-13T16:15:35.255068,debug-p01,Proposed,R,42,FingerPoint,3,3086.665630340576
2026-01-13T16:15:35.255181,debug-p01,Proposed,R,42,FingerPoint,3,3086.665630340576
2026-01-13T16:15:40.615880,debug-p01,Proposed,R,44,ThumbsUp,7,1056.7455291748047
2026-01-13T16:15:45.887660,debug-p01,Proposed,R,45,Victory,4,867.4294948577881
2026-01-13T16:15:52.796824,debug-p01,Proposed,R,46,Gun,6,923.8502979278564
2026-01-13T16:15:58.553652,debug-p01,Proposed,R,47,HandOpen,2,1477.9903888702393
2026-01-13T16:16:05.423748,debug-p01,Proposed,R,48,Gun,6,826.5302181243896
2026-01-13T16:16:10.729727,debug-p01,Proposed,R,49,Victory,4,905.7283401489258
2026-01-13T16:16:16.044968,debug-p01,Proposed,R,50,ThumbsUp,7,882.432222366333
2026-01-13T16:16:22.248880,debug-p01,Proposed,R,51,Gun,6,1842.0040607452393
2026-01-13T16:16:27.946347,debug-p01,Proposed,R,52,Fist,1,1361.5612983703613
2026-01-13T16:16:33.375315,debug-p01,Proposed,R,53,Neutral,0,1209.4190120697021
2026-01-13T16:16:38.306458,debug-p01,Proposed,R,54,Gun,6,835.7360363006592
2026-01-13T16:16:43.338215,debug-p01,Proposed,R,55,Fist,1,880.0435066223145
2026-01-13T16:16:49.177313,debug-p01,Proposed,R,56,Neutral,0,1718.9629077911377
2026-01-13T16:16:54.349893,debug-p01,Proposed,R,57,ThumbsUp,7,976.4294624328613
2026-01-13T16:16:59.706105,debug-p01,Proposed,R,58,FingerPoint,3,1156.6519737243652
2026-01-13T16:17:05.082867,debug-p01,Proposed,R,59,Neutral,0,1118.7665462493896
2026-01-13T16:17:10.365053,debug-p01,Proposed,R,60,FingerPoint,3,1131.26802444458
2026-01-13T16:17:10.363250,debug-p01,Proposed,R,60,FingerPoint,3,1131.26802444458
2026-01-13T16:17:15.719515,debug-p01,Proposed,R,62,Neutral,0,1052.286148071289
2026-01-13T16:17:21.579669,debug-p01,Proposed,R,63,HandOpen,2,1648.9307880401611
2026-01-13T16:17:28.347986,debug-p01,Proposed,R,64,Fist,1,810.4946613311768
2026-01-13T16:17:34.886130,debug-p01,Proposed,R,65,FingerPoint,3,2313.3888244628906
2026-01-13T16:17:40.194556,debug-p01,Proposed,R,66,Victory,4,1051.7399311065674
2026-01-13T16:17:45.475184,debug-p01,Proposed,R,67,RockNRoll,5,943.8912868499756
2026-01-13T16:17:50.689710,debug-p01,Proposed,R,68,ThumbsUp,7,885.6661319732666
2026-01-13T16:17:55.825183,debug-p01,Proposed,R,69,Fist,1,922.6491451263428
2026-01-13T16:18:01.050809,debug-p01,Proposed,R,70,RockNRoll,5,1011.2588405609131
2026-01-13T16:18:01.051270,debug-p01,Proposed,R,70,RockNRoll,5,1011.2588405609131
2026-01-13T16:18:06.828672,debug-p01,Proposed,R,72,HandOpen,2,1542.374610900879
2026-01-13T16:18:13.765130,debug-p01,Proposed,R,73,HandOpen,2,1514.0137672424316
2026-01-13T16:18:20.517243,debug-p01,Proposed,R,74,Gun,6,758.277177810669
2026-01-13T16:18:25.871468,debug-p01,Proposed,R,75,Neutral,0,991.4028644561768
2026-01-13T16:18:32.397041,debug-p01,Proposed,R,76,RockNRoll,5,2387.6118659973145
2026-01-13T16:18:39.101651,debug-p01,Proposed,R,77,HandOpen,2,2154.4153690338135
2026-01-13T16:18:46.364133,debug-p01,Proposed,R,78,RockNRoll,5,1776.9856452941895
2026-01-13T16:18:51.529358,debug-p01,Proposed,R,79,ThumbsUp,7,975.6965637207031
2026-01-13T16:18:56.738986,debug-p01,Proposed,R,80,FingerPoint,3,1015.3987407684326
2026-01-13T16:19:02.519972,debug-p01,Proposed,R,81,Neutral,0,1647.4645137786865
2026-01-13T16:19:07.843976,debug-p01,Proposed,R,82,Victory,4,993.9229488372803
2026-01-13T16:19:14.257764,debug-p01,Proposed,R,83,FingerPoint,3,2140.935182571411
2026-01-13T16:19:19.525250,debug-p01,Proposed,R,84,Victory,4,901.1135101318359
